Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link,-9999
Andre Ellington,ARI,4,2,50.00%,-3,0,5.8%,2,1,50.00%,-6,0,8.3%,All Andre Ellington red zone receiving plays,ElliAn00
Coby Fleener,NOR,4,4,100.00%,29,2,5.6%,3,3,100.00%,19,2,10.0%,All Coby Fleener red zone receiving plays,FleeCo00
Will Fuller,HOU,4,3,75.00%,35,3,7.4%,3,2,66.67%,19,2,10.0%,All Will Fuller red zone receiving plays,FullWi01
Virgil Green,DEN,4,1,25.00%,2,1,6.9%,2,1,50.00%,2,1,8.3%,All Virgil Green red zone receiving plays,GreeVi00
Tyreek Hill,KAN,4,1,25.00%,7,0,5.6%,1,0,0.00%,0,0,4.5%,All Tyreek Hill red zone receiving plays,HillTy00
Chris Ivory,JAX,4,2,50.00%,10,0,8.2%,3,2,66.67%,10,0,10.3%,All Chris Ivory red zone receiving plays,IvorCh00
Ricardo Louis,CLE,4,1,25.00%,5,0,9.3%,3,1,33.33%,5,0,12.0%,All Ricardo Louis red zone receiving plays,LouiRi00
Jordan Matthews,BUF,4,4,100.00%,16,1,6.2%,3,3,100.00%,14,1,8.8%,All Jordan Matthews red zone receiving plays,MattJo00
Braxton Miller,HOU,4,2,50.00%,6,1,7.4%,4,2,50.00%,6,1,13.3%,All Braxton Miller red zone receiving plays,MillBr03
Zach Miller,CHI,4,1,25.00%,11,0,8.0%,2,0,0.00%,0,0,7.1%,All Zach Miller red zone receiving plays,MillZa02
Ty Montgomery,GNB,4,2,50.00%,3,1,6.3%,2,1,50.00%,1,1,6.7%,All Ty Montgomery red zone receiving plays,MontTy01
Louis Murphy,SFO,4,1,25.00%,10,1,4.7%,2,1,50.00%,10,1,5.6%,All Louis Murphy red zone receiving plays,MurpLo00
Cordarrelle Patterson,OAK,4,3,75.00%,15,0,8.7%,2,1,50.00%,2,0,7.1%,All Cordarrelle Patterson red zone receiving plays,PattCo00
Terrelle Pryor,WAS,4,2,50.00%,9,0,6.3%,1,0,0.00%,0,0,4.0%,All Terrelle Pryor red zone receiving plays,PryoTe00
Jordan Reed,WAS,4,3,75.00%,26,2,6.3%,1,1,100.00%,5,1,4.0%,All Jordan Reed red zone receiving plays,ReedJo02
Seth Roberts,OAK,4,2,50.00%,27,1,8.7%,1,0,0.00%,0,0,3.6%,All Seth Roberts red zone receiving plays,RobeSe00
Aldrick Robinson,SFO,4,2,50.00%,20,1,4.7%,0,0,,0,0,.0%,All Aldrick Robinson red zone receiving plays,RobiAl00
